time: 2017-09-27 22:19:59, latitude: 40.432, longitude: -86.9261, velocity: 0.174911 m/s

time: 2017-09-27 22:20:04, latitude: 40.432, longitude: -86.9261, velocity: 0.149189 m/s

time: 2017-09-27 22:20:09, latitude: 40.432, longitude: -86.9261, velocity: 0.164622 m/s

time: 2017-09-27 22:20:14, latitude: 40.432, longitude: -86.9261, velocity: 0.190344 m/s

time: 2017-09-27 22:20:19, latitude: 40.432, longitude: -86.9261, velocity: 0.190344 m/s

time: 2017-09-27 22:20:24, latitude: 40.432, longitude: -86.9261, velocity: 0.149189 m/s

time: 2017-09-27 22:20:30, latitude: 40.432, longitude: -86.9261, velocity: 0.149189 m/s

time: 2017-09-27 22:20:35, latitude: 40.432, longitude: -86.9261, velocity: 0.169767 m/s

time: 2017-09-27 22:20:40, latitude: 40.432, longitude: -86.9261, velocity: 0.200633 m/s

time: 2017-09-27 22:20:45, latitude: 40.432, longitude: -86.9261, velocity: 0.221211 m/s

time: 2017-09-27 22:20:50, latitude: 40.432, longitude: -86.9261, velocity: 0.226355 m/s

time: 2017-09-27 22:20:55, latitude: 40.432, longitude: -86.9261, velocity: 0.257222 m/s

time: 2017-09-27 22:21:00, latitude: 40.432, longitude: -86.9261, velocity: 0.2778 m/s

time: 2017-09-27 22:21:05, latitude: 40.432, longitude: -86.9261, velocity: 0.236644 m/s

time: 2017-09-27 22:21:10, latitude: 40.432, longitude: -86.9261, velocity: 0.195489 m/s

time: 2017-09-27 22:21:15, latitude: 40.432, longitude: -86.9261, velocity: 0.174911 m/s

time: 2017-09-27 22:21:20, latitude: 40.432, longitude: -86.9261, velocity: 0.144044 m/s

time: 2017-09-27 22:21:25, latitude: 40.432, longitude: -86.9261, velocity: 0.144044 m/s

time: 2017-09-27 22:21:30, latitude: 40.432, longitude: -86.9261, velocity: 0.113178 m/s

time: 2017-09-27 22:21:35, latitude: 40.432, longitude: -86.9261, velocity: 0.102889 m/s

time: 2017-09-27 22:21:40, latitude: 40.432, longitude: -86.9261, velocity: 0.118322 m/s

time: 2017-09-27 22:21:45, latitude: 40.432, longitude: -86.9261, velocity: 0.118322 m/s

time: 2017-09-27 22:21:50, latitude: 40.432, longitude: -86.9261, velocity: 0.1389 m/s

time: 2017-09-27 22:21:55, latitude: 40.432, longitude: -86.9261, velocity: 0.133755 m/s

time: 2017-09-27 22:22:00, latitude: 40.432, longitude: -86.9261, velocity: 0.1389 m/s

time: 2017-09-27 22:22:05, latitude: 40.432, longitude: -86.9261, velocity: 0.180055 m/s

time: 2017-09-27 22:22:10, latitude: 40.432, longitude: -86.9261, velocity: 0.149189 m/s

time: 2017-09-27 22:22:15, latitude: 40.432, longitude: -86.9261, velocity: 0.118322 m/s

time: 2017-09-27 22:22:20, latitude: 40.432, longitude: -86.9261, velocity: 0.113178 m/s

time: 2017-09-27 22:22:25, latitude: 40.432, longitude: -86.9261, velocity: 0.0617333 m/s

time: 2017-09-27 22:22:31, latitude: 40.432, longitude: -86.9261, velocity: 0.0360111 m/s

time: 2017-09-27 22:22:36, latitude: 40.432, longitude: -86.9261, velocity: 0.0514444 m/s

time: 2017-09-27 22:22:41, latitude: 40.432, longitude: -86.9261, velocity: 0.0720222 m/s

time: 2017-09-27 22:22:46, latitude: 40.432, longitude: -86.9261, velocity: 0.133755 m/s

time: 2017-09-27 22:22:51, latitude: 40.432, longitude: -86.9261, velocity: 0.169767 m/s

time: 2017-09-27 22:22:56, latitude: 40.432, longitude: -86.9261, velocity: 0.149189 m/s

time: 2017-09-27 22:23:01, latitude: 40.432, longitude: -86.9261, velocity: 0.128611 m/s

time: 2017-09-27 22:23:06, latitude: 40.432, longitude: -86.9261, velocity: 0.180055 m/s

